method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_gap_conservatism,local_action_score
Pointwise-D,3.5662296802779223,22.703464361734014,0.94487212098199,0.0,1.0,0.9035180295921329,0.9813778471307781,0.5226997685237194,0.5233181581461417,0.985566621467244,1.0,0.8816428069738105
STRATUS-D,4.849230764360034,32.4560027826044,0.94487212098199,0.0,1.0,0.873708512802201,0.9808352977331947,0.3494361788904697,0.34957997605168006,0.9851124859973734,1.0,0.8408247573174151
