dataset,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,STRATUS-H,5.961357936046475,25.944639270778804,0.9409754160313089,0.0,1.0,0.7854726524841648,0.8988255453779971,0.5052338954522978,0.6462793095253113,0.9661335892515044,1.0,0.8661155014774947
Autism,Hybrid-P,6.38886437370332,26.331176995773067,0.9409754160313089,0.0,1.0,0.7677548534148072,0.8692826921981642,0.5193901348949943,0.6669239363981154,0.965621783500255,1.0,0.8607922964022173
Autism,Pointwise-D,3.92382020653896,25.04292053435148,0.9409754160313089,0.0,1.0,0.935480586517432,0.9606623459671724,0.5008043142776217,0.534069884489176,0.9661750017632458,1.0,0.8860425633947561
Autism,STRATUS-D,4.161875522471585,27.41710496065049,0.9409754160313089,0.0,1.0,0.9580516378517931,0.9601547097335924,0.3818497691443852,0.3844810057064059,0.965252086307138,1.0,0.8605374706583583
ETDD70,STRATUS-H,0.5548886456579124,3.338176138339777,0.9407925407925408,0.0,1.0,0.9877261975988711,0.9992006644565324,0.7478519732398613,0.7478519732398613,1.0,1.0,0.946955767059053
ETDD70,Hybrid-P,0.5583807317040752,3.288072366263856,0.9407925407925408,0.0,1.0,0.9860536993671158,0.9965383650914276,0.7442556514462594,0.7442556514462594,1.0,1.0,0.9453695431809604
ETDD70,Pointwise-D,1.0626487263299471,8.60160603631928,0.9407925407925408,0.0,1.0,0.9502079528059152,0.9981332605086696,0.6371622143053414,0.6372592379982377,1.0,1.0,0.9171200902625646
ETDD70,STRATUS-D,1.5534315592765209,14.344185551331572,0.9407925407925408,0.0,1.0,0.8905685064001979,0.9981729275869088,0.5079908756054685,0.508087370074245,1.0,1.0,0.8793657608122704
