method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
STRATUS-H,3.2581232908521933,14.64140770455929,0.9408839784119248,0.0,1.0,0.886599425041518,0.9490131049172648,0.6265429343460795,0.6970656413825863,0.9830667946257524,1.0,0.906535634268274
Hybrid-P,3.4736225527036977,14.809624681018462,0.9408839784119248,0.0,1.0,0.8769042763909616,0.9329105286447958,0.6318228931706269,0.7055897939221873,0.9828108917501276,1.0,0.9030809197915888
Pointwise-D,2.493234466434454,16.822263285335378,0.9408839784119248,0.0,1.0,0.9428442696616736,0.9793978032379208,0.5689832642914816,0.5856645612437068,0.9830875008816228,1.0,0.9015813268286604
STRATUS-D,2.857653540874053,20.88064525599103,0.9408839784119248,0.0,1.0,0.9243100721259956,0.9791638186602508,0.4449203223749268,0.4462841878903254,0.982626043153569,1.0,0.8699516157353143
