contrast,metric,difference,ci_low,ci_high,favorable_direction
STRATUS-H minus Hybrid-P,Q_local,0.0034547144766848,0.0015320644753861,0.0054296601951042,positive
STRATUS-H minus Hybrid-P,mae,-0.215499261851504,-0.3137587481062068,-0.1302195823202625,negative
STRATUS-H minus Hybrid-P,rmse,-0.1682169764591717,-0.3482277715329907,0.0111756595004235,negative
STRATUS-H minus Pointwise-D,Q_local,0.0049543074396135,-0.0036932252552876,0.0136305774363794,positive
STRATUS-H minus Pointwise-D,mae,0.7648888244177392,0.1682625741654306,1.4391950596188663,negative
STRATUS-H minus Pointwise-D,rmse,-2.1808555807760865,-3.1020781136483198,-1.1628621596902318,negative
