method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_gap_conservatism,local_action_score,bootstrap_replicates,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,retention_ci_low,retention_ci_high,long_hallucination_ci_low,long_hallucination_ci_high,short_recovery_ci_low,short_recovery_ci_high,movement_preservation_ci_low,movement_preservation_ci_high,stable_preservation_ci_low,stable_preservation_ci_high,unstable_repair_gain_ci_low,unstable_repair_gain_ci_high,unstable_repair_score_ci_low,unstable_repair_score_ci_high,plausibility_score_ci_low,plausibility_score_ci_high,long_gap_conservatism_ci_low,long_gap_conservatism_ci_high,local_action_score_ci_low,local_action_score_ci_high
Oracle_policy,1.5262337003678543,7.048230099199189,0.94487212098199,0.0,1.0,0.9941618681026274,1.0,0.7837860440502682,0.7865008170450947,0.9849188467597512,1.0,0.9561325370295444,2000,1.281242006800729,1.8050337606457343,5.87833928555917,8.370794360606942,0.9448364296655578,0.9449016330204449,0.0,0.0,1.0,1.0,0.9935833991793429,0.9946633656919966,1.0,1.0,0.7655332675012181,0.8003693818717923,0.771177223177001,0.8009522716934113,0.9609069826855706,0.9995988295607007,1.0,1.0,0.9531021498524737,0.9590100271757773
STRATUS-D,4.849230764360034,32.4560027826044,0.94487212098199,0.0,1.0,0.873708512802201,0.9808352977331947,0.3494361788904697,0.34957997605168006,0.9851124859973734,1.0,0.8408247573174151,2000,4.426741019003048,5.336649117615053,30.23887965291538,34.69332638634336,0.9448364296655577,0.9449016330204449,0.0,0.0,1.0,1.0,0.8363741133921666,0.8984446421936203,0.9527959284765097,0.9974244145447058,0.3318399887657566,0.3647907162620069,0.33202511862154493,0.3648636814716994,0.9610011544605075,0.9996836422619341,1.0,1.0,0.8340952584453268,0.8472546321797891
short_gap_only,10.407776388927035,58.2731704733565,0.94487212098199,0.0,1.0,0.806898677921716,1.0,0.0,0.0,0.9795170451278188,1.0,0.7613797355843432,2000,10.095400663262655,10.747216365374644,56.93700001446661,59.73389731019004,0.9448363444011799,0.9449016330204449,0.0,0.0,1.0,1.0,0.7811765017763508,0.8247421066863552,1.0,1.0,0.0,0.0,0.0,0.0,0.9555079535664187,0.9940673531538783,1.0,1.0,0.7562353003552702,0.764948421337271
STRATUS-BW,5.541833305162351,39.12123446154068,0.9276282601098953,0.0,0.0,0.8516524997157578,0.9729674464529878,0.387240106129158,0.387240106129158,0.9821729034240944,1.0,0.6423720104595807,2000,5.272623544328727,5.9202121492714435,37.93757100993051,40.81012300593362,0.9275896612530277,0.9276627662766277,0.0,0.0,0.0,0.0,0.8203244463394103,0.8779074949929173,0.9440385873130237,0.9900551387916157,0.3757093651214765,0.4018705582137072,0.3757093651214765,0.4018705582137072,0.9576206724946896,0.996949918412519,1.0,1.0,0.6329003902866137,0.6512578848254215
robust_clip,7.993307980242468,44.76732470224003,0.9276282601098953,0.0,0.0,0.8178054106983048,0.9835475382705658,0.10135855972954033,0.10135855972954033,1.0,1.0,0.5805423017396822,2000,7.545657461326674,8.545854770330756,43.19652621785239,46.49393368811128,0.9275835926426792,0.9276627662766277,0.0,0.0,0.0,0.0,0.7889320592350172,0.8368014596221591,0.9557913203806829,1.0,0.09348958129859682,0.10755018759605675,0.09348958129859682,0.10755018759605675,1.0,1.0,1.0,1.0,0.5728864187727417,0.5862833094923157
raw_degraded,9.69674071021251,56.67682774280689,0.9276282601098953,0.0,0.0,0.806898677921716,1.0,0.0,0.0,0.9793600794849386,1.0,0.5613797355843432,2000,9.551609441864501,9.867927271585694,55.66480409778399,57.865616363324726,0.9275856389877469,0.927654854195097,0.0,0.0,0.0,0.0,0.7812511913947713,0.8254485577017561,1.0,1.0,0.0,0.0,0.0,0.0,0.9527459349330095,0.9941715906019174,1.0,1.0,0.5562502382789541,0.5650897115403511
global_interpolate,13.865316549351686,64.09695662721128,1.0,1.0,1.0,0.8068367822661804,1.0,0.0,0.0,0.9790395716761096,0.0,0.5613673564532361,2000,12.767194485393656,15.086712574081444,61.46743717009903,66.95865420480611,1.0,1.0,1.0,1.0,1.0,1.0,0.780884037350678,0.8243962848658464,1.0,1.0,0.0,0.0,0.0,0.0,0.953561826522562,0.9941616790600543,0.0,0.0,0.5561768074701355,0.5648792569731692
global_smooth,19.095302406227276,38.25824708120879,0.9346838819850638,0.07377213028915816,0.23566488413547237,0.4885766885235886,0.0,0.6174086647542226,0.6697633105614667,0.985801904454404,0.9262278697108418,0.4640465505862739,2000,17.434786069774685,20.793105959769058,35.905661901562404,40.73509385275432,0.9344744223696635,0.9348021615348348,0.07192641265396683,0.07469498910675382,0.2298181818181818,0.23858823529411766,0.4233214817445242,0.5392051571343143,0.0,0.0,0.5376827680270602,0.6844042432255841,0.6417895218431375,0.6968145565851583,0.9611904298489198,0.9993530583018257,0.9253050108932461,0.9280735873460332,0.4520747085343392,0.474745715118551
interp_smooth,22.56919017301258,45.24216115376514,1.0,1.0,1.0,0.48943524693332086,0.0,0.6165181747450847,0.6688728205523289,0.9848374231159284,0.0,0.43166161349712995,2000,20.394709255865678,24.86732184944841,41.95956558579927,48.916885684704596,1.0,1.0,1.0,1.0,1.0,1.0,0.42490126375057835,0.5387012093982578,0.0,0.0,0.536288085696601,0.684867773927938,0.6407886369479026,0.6965053413751136,0.9610461466540395,0.9987530338516645,0.0,0.0,0.4182303713835685,0.44238814355448247
