dataset,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_gap_conservatism,local_action_score
Autism,Oracle_policy,2.1693095365390738,10.458429862366737,0.9451554973752354,0.0,1.0,0.9935591417767748,1.0,0.7395029630159136,0.7449325090055663,0.9701718894192168,1.0,0.9476983301564681
Autism,STRATUS-D,5.876342197652245,36.722860822536276,0.9451554973752354,0.0,1.0,0.9435222930253656,0.9639913672679942,0.3286589948287003,0.32894658915112107,0.9705591678944615,1.0,0.8472920498888963
Autism,short_gap_only,10.850033114240347,59.301192640898805,0.9451554973752354,0.0,1.0,0.9346079953161925,1.0,0.0,0.0,0.9652921842344548,1.0,0.7869215990632386
Autism,STRATUS-BW,4.2934102725608945,29.49975139212764,0.9279837929470635,0.0,0.0,0.9672730497183591,0.958753908179714,0.3089271744916794,0.3089271744916794,0.9705018933541937,1.0,0.6469908264779505
Autism,robust_clip,8.341722995303453,45.05342231657726,0.9279837929470635,0.0,0.0,0.9469903246541324,0.9670950765411316,0.09440528050974406,0.09440528050974406,1.0,1.0,0.6016981363410017
Autism,raw_degraded,9.634364517614134,56.218472428179496,0.9279837929470635,0.0,0.0,0.9346079953161925,1.0,0.0,0.0,0.9648762454758824,1.0,0.5869215990632386
Autism,global_interpolate,15.445698980356827,67.52443149432995,1.0,1.0,1.0,0.9344764816484054,1.0,0.0,0.0,0.9646570099300856,0.0,0.5868952963296811
Autism,global_smooth,27.697879972376537,52.16058720383766,0.9396974342997978,0.12269131940184573,0.39180035650623884,0.3167665699913968,0.0,0.5015940293051704,0.6063033209196586,0.9726316908435115,0.8773086805981543,0.4384357856030897
Autism,interp_smooth,32.13441683526901,60.41471180707182,1.0,1.0,1.0,0.3181974475856275,0.0,0.5001315448807893,0.6048408364952774,0.9717727483297588,0.0,0.38460765681618103
ETDD70,Oracle_policy,0.8831578641966347,3.63803033603164,0.9445887445887446,0.0,1.0,0.9947645944284799,1.0,0.8280691250846229,0.8280691250846229,0.9996658041002854,1.0,0.9645667439026205
ETDD70,STRATUS-D,3.822119331067824,28.189144742672532,0.9445887445887446,0.0,1.0,0.8038947325790363,0.9976792281983953,0.37021336295223906,0.37021336295223906,0.9996658041002854,1.0,0.8343574647459342
ETDD70,short_gap_only,9.965519663613723,57.245148305814205,0.9445887445887446,0.0,1.0,0.6791893605272395,1.0,0.0,0.0,0.9937419060211827,1.0,0.7358378721054479
ETDD70,STRATUS-BW,6.7902563377638065,48.74271753095372,0.9272727272727272,0.0,0.0,0.7360319497131566,0.9871809847262616,0.4655530377666366,0.4655530377666366,0.993843913493995,1.0,0.637753194441211
ETDD70,robust_clip,7.6448929651814845,44.48122708790281,0.9272727272727272,0.0,0.0,0.6886204967424773,1.0,0.1083118389493366,0.1083118389493366,1.0,1.0,0.5593864671383628
ETDD70,global_interpolate,12.284934118346543,60.66948176009263,1.0,1.0,1.0,0.6791970828839555,1.0,0.0,0.0,0.9934221334221334,0.0,0.5358394165767911
ETDD70,raw_degraded,9.759116902810883,57.13518305743429,0.9272727272727272,0.0,0.0,0.6791893605272395,1.0,0.0,0.0,0.993843913493995,1.0,0.535837872105448
ETDD70,global_smooth,10.492724840078012,24.355906958579936,0.9296703296703297,0.024852941176470588,0.07952941176470588,0.6603868070557805,0.0,0.7332233002032749,0.7332233002032749,0.9989721180652963,0.9751470588235294,0.4896573155694581
ETDD70,interp_smooth,13.003963510756154,30.069610500458463,1.0,1.0,1.0,0.6606730462810142,0.0,0.7329048046093802,0.7329048046093802,0.9979020979020979,0.0,0.47871557017807886
