method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_gap_conservatism,local_action_score
Oracle_policy,1.8937056067514084,8.996915678152074,0.9450340503495588,0.0,1.0,0.993817453059283,1.0,0.7584814263163513,0.7627474981653641,0.9764920139937315,1.0,0.9513129902449293
STRATUS-D,5.436151583384154,34.894207376851185,0.9450340503495588,0.0,1.0,0.9136021015011522,0.9712101946102228,0.33756350228374427,0.3377894692513606,0.9767963042242809,1.0,0.8445203530725471
short_gap_only,10.660494517677499,58.8606117119521,0.9450340503495588,0.0,1.0,0.8798754307185598,1.0,0.0,0.0,0.9713885531887537,1.0,0.7759750861437119
STRATUS-BW,4.828448715104376,33.623244136161794,0.9278314217311342,0.0,0.0,0.9177213854315299,0.9648454245825456,0.3424898594791702,0.3424898594791702,0.9755037548127224,1.0,0.6450113338986492
robust_clip,8.192402274563031,44.93080905328988,0.9278314217311342,0.0,0.0,0.8916253615302062,0.9741461315680319,0.09738525731822817,0.09738525731822817,1.0,1.0,0.5926313500832932
raw_degraded,9.661097171584867,56.41491042016267,0.9278314217311342,0.0,0.0,0.8798754307185598,1.0,0.0,0.0,0.9710836029083351,1.0,0.575975086143712
global_interpolate,14.768392224211766,66.05551369413624,1.0,1.0,1.0,0.8797737533417375,1.0,0.0,0.0,0.9708209649640959,0.0,0.5759547506683476
global_smooth,24.01106101545542,46.202441436996715,0.9375487690220546,0.10172595263926533,0.3248851540616246,0.3903994779337647,0.0,0.5512288730690498,0.6335004593375764,0.9782760681053224,0.8982740473607347,0.44941182773874006
interp_smooth,28.035033980016255,53.912190098511815,1.0,1.0,1.0,0.3915850758774961,0.0,0.5500115291083445,0.6322831153768709,0.9773718946666886,0.0,0.4047736382508734
