corruption,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_gap_conservatism,local_action_score
jitter,Oracle_policy,0.7974860339264862,3.4259390159881518,1.0,,,0.9996385973780163,1.0,0.3767497533955077,0.3895479689425464,0.9743576143328619,,
jitter,STRATUS-BW,1.5468050347598468,6.226701771737718,1.0,,,0.9836144964324374,0.9693358093964042,0.11622451495950027,0.11622451495950027,0.9745403111739745,,
jitter,STRATUS-D,2.152547347757313,11.733094513081143,1.0,,,0.9577695436421135,0.9682640187439859,0.004141227451308816,0.004819128354157843,0.9745403111739745,,
jitter,global_interpolate,1.3420714342311082,5.409104648443094,1.0,,,0.999817301194824,1.0,0.0,0.0,0.9742102781706742,,
jitter,global_smooth,16.01363621315369,31.663826879398666,1.0,,,0.3822746737667652,0.0,0.1021933107355249,0.34900806954110436,0.9757779349363508,,
jitter,interp_smooth,16.01363621315369,31.663826879398666,1.0,,,0.3822746737667652,0.0,0.1021933107355249,0.34900806954110436,0.9757779349363508,,
jitter,raw_degraded,1.3420714342311082,5.409104648443094,1.0,,,0.999817301194824,1.0,0.0,0.0,0.9742102781706742,,
jitter,robust_clip,1.894534853180932,6.454072419147565,1.0,,,0.997892220460495,0.9703989703989704,0.0007621540520823684,0.0007621540520823684,1.0,,
jitter,short_gap_only,1.3420714342311082,5.409104648443094,1.0,,,0.999817301194824,1.0,0.0,0.0,0.9742102781706742,,
long_gap,Oracle_policy,0.0,0.0,0.8625851258738972,0.0,,1.0,1.0,,,0.9804926486723722,1.0,
long_gap,STRATUS-BW,0.38532563963635996,2.772977812964277,0.8625851258738972,0.0,,0.9831792728116205,0.9763772548028755,,,0.9809036836558599,1.0,
long_gap,STRATUS-D,0.8931599636426522,10.109310690305993,0.8625851258738972,0.0,,0.9565091737175445,0.9764820134206501,,,0.9809036836558599,1.0,
long_gap,global_interpolate,11.025086369253861,33.689004348904106,1.0,1.0,,0.999376968285799,1.0,,,0.978017444601603,0.0,
long_gap,global_smooth,16.569460204886067,33.205249515194666,0.8747318099875476,0.10172595263926533,,0.3769348326909484,0.0,,,0.9815003779289494,0.8982740473607347,
long_gap,interp_smooth,25.199469998828118,50.53110927646902,1.0,1.0,,0.3782352340191835,0.0,,,0.9795497406883545,0.0,
long_gap,raw_degraded,0.0,0.0,0.8625851258738972,0.0,,1.0,1.0,,,0.9804926486723722,1.0,
long_gap,robust_clip,0.49096916473367525,1.6852087705041667,0.8625851258738972,0.0,,0.9981170341636895,0.9797487145145795,,,1.0,1.0,
long_gap,short_gap_only,0.0,0.0,0.8625851258738972,0.0,,1.0,1.0,,,0.9804926486723722,1.0,
mixed,Oracle_policy,6.366019003195223,26.265874266805202,0.8625851258738972,0.0,1.0,0.9838662470198772,1.0,0.9237988669803987,0.9237988669803987,0.9788592176187749,1.0,0.9815330228000552
mixed,STRATUS-BW,13.083238428534324,84.75572871972808,0.8195785543278358,0.0,0.0,0.8062385823847136,0.9520490828429419,0.4345044483044159,0.4345044483044159,0.9765176644693364,1.0,0.6385584227064143
mixed,STRATUS-D,14.67479313252542,78.1159922699944,0.8625851258738972,0.0,1.0,0.8314461974839725,0.9724564776546061,0.4840005759048549,0.4840005759048549,0.9793508219068461,1.0,0.8575806502086867
mixed,global_interpolate,39.85004248817854,150.42879494852752,1.0,1.0,1.0,0.6740605289944848,1.0,0.0,0.0,0.9643753708492268,0.0,0.5348121057988969
mixed,global_smooth,39.059940647179644,72.3536216022301,0.8438719225551364,0.10172595263926533,0.3248851540616246,0.40592685990061644,0.0,0.7152061072673145,0.7152061072673145,0.981596264087265,0.8982740473607347,0.4688584337180581
mixed,interp_smooth,49.3757035323699,91.36090493501209,1.0,1.0,1.0,0.4089691064199542,0.0,0.7115540753851983,0.7115540753851983,0.9783208452757205,0.0,0.4241046363610305
mixed,raw_degraded,27.248306708216514,146.4414152415961,0.8195785543278358,0.0,0.0,0.6739458841643952,1.0,0.0,0.0,0.9643693180678456,1.0,0.5347891768328791
mixed,robust_clip,22.206218352182397,114.98685231136987,0.8195785543278358,0.0,0.0,0.7077452543540157,0.9761221110472381,0.13450441232215124,0.13450441232215124,1.0,1.0,0.563674355544681
mixed,short_gap_only,30.335640324761062,148.143289386511,0.8625851258738972,0.0,1.0,0.6739458841643952,1.0,0.0,0.0,0.9647381079017465,1.0,0.734789176832879
short_gap,Oracle_policy,1.909653113918616,10.526632314032295,1.0,,1.0,1.0,1.0,,,0.9743635077793493,,
short_gap,STRATUS-BW,0.4002219180928568,2.6550883849370517,0.9569934284539385,,0.0,0.9839493312858941,0.9684323181157729,,,0.9733923217545285,,
