dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,17,Autism__17__seg4,jitter,medium,0,Pointwise-D,2.086800988081039,9.418920079598118,1.0,,,0.9261057008401816,0.997005988023952,-0.1060223311103945,0.0,1.0,,0.6410372296213779
Autism,17,Autism__17__seg4,jitter,medium,0,STRATUS-D,1.7675743026719362,8.15016360442422,1.0,,,0.9484043889257096,0.997005988023952,0.0,0.0,1.0,,0.6484701256498873
Autism,17,Autism__17__seg4,jitter,medium,0,Hybrid-P,4.204017106425287,11.758224933498008,1.0,,,0.8575131814696799,0.874251497005988,0.1599351205459581,0.1599351205459581,1.0,,0.6305665996738754
Autism,17,Autism__17__seg4,jitter,medium,0,STRATUS-H,3.8514282973382152,11.20679638985158,1.0,,,0.8632197888490706,0.9191616766467066,0.0044466447006397,0.0044466447006397,1.0,,0.5956093700654722
Autism,17,Autism__17__seg4,spike,medium,0,Pointwise-D,4.442458980337928,40.80447926716229,1.0,,,0.9683465237415914,0.9971751412429378,0.7178122961320896,0.7178122961320896,1.0,,0.8944446537055395
Autism,17,Autism__17__seg4,spike,medium,0,STRATUS-D,7.462216502021587,59.85008299515038,1.0,,,0.9683465237415914,0.9971751412429378,0.513806054761046,0.513806054761046,1.0,,0.8264425732485251
Autism,17,Autism__17__seg4,spike,medium,0,Hybrid-P,4.054495432771153,12.991100307181064,1.0,,,0.8582630065339001,0.8615819209039548,0.970430150696197,0.970430150696197,1.0,,0.8967583593780173
Autism,17,Autism__17__seg4,spike,medium,0,STRATUS-H,4.59567439976113,14.358247052077758,1.0,,,0.8323164736816029,0.864406779661017,0.9495030665199636,0.9495030665199636,1.0,,0.8820754399541944
Autism,17,Autism__17__seg4,mixed,medium,0,Pointwise-D,12.166233898976731,51.23803838105635,0.8663366336633663,0.0,1.0,0.9839476678099026,0.996138996138996,0.8573983524561707,0.8573983524561707,1.0,1.0,0.9674970032810138
Autism,17,Autism__17__seg4,mixed,medium,0,STRATUS-D,13.169312653453066,56.04819500567956,0.8663366336633663,0.0,1.0,0.9795735137496502,0.9922779922779924,0.8177332432927436,0.8177332432927436,1.0,1.0,0.9579169498640772
