dataset,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,STRATUS-H,6.273851220272461,25.210555148867986,0.9451554973752356,0.0,1.0,0.7735293527034312,0.889157324611384,0.7189291854433199,0.7243257243252939,0.9713807784016464,1.0,0.8774024803280217
Autism,Hybrid-P,6.715351551936888,25.60285775874548,0.9451554973752356,0.0,1.0,0.759543903930751,0.8605437621464683,0.7121447755830986,0.7170827249463477,0.9709337424913648,1.0,0.8674340782047133
Autism,Pointwise-D,4.76406456003796,28.74654946514703,0.9451554973752356,0.0,1.0,0.9273379062062322,0.964918996675696,0.4840858429930046,0.4853226222378493,0.9714674388342026,1.0,0.8755159050239555
Autism,STRATUS-D,5.876342197652246,36.72286082253628,0.9451554973752356,0.0,1.0,0.9435222930253656,0.9639913672679942,0.3286589948287002,0.328946589151121,0.9705591678944616,1.0,0.8472920498888961
ETDD70,STRATUS-H,0.9215815975100308,4.019697631655295,0.9445887445887444,0.0,1.0,0.988339455365353,0.998677245293227,0.8256433429883367,0.8256433429883367,0.9996658041002854,1.0,0.9625320087293834
ETDD70,Hybrid-P,0.9341782341753893,4.038759847545279,0.9445887445887444,0.0,1.0,0.9851738950621534,0.99588292945921,0.8243776855548065,0.8243776855548065,0.9996658041002854,1.0,0.961086902015234
ETDD70,Pointwise-D,2.368394800517884,16.660379258321,0.9445887445887444,0.0,1.0,0.8796981529780336,0.99783669758586,0.561313694054434,0.561313694054434,0.9996658041002854,1.0,0.8877697089236656
ETDD70,STRATUS-D,3.822119331067823,28.18914474267253,0.9445887445887444,0.0,1.0,0.8038947325790362,0.9976792281983954,0.370213362952239,0.370213362952239,0.9996658041002854,1.0,0.8343574647459341
