contrast,metric,difference,ci_low,ci_high,favorable_direction
STRATUS-H minus Hybrid-P,Q_local,0.0057067544187288,0.0042699097107508,0.007138536937497,positive
STRATUS-H minus Hybrid-P,mae,-0.2270484841648929,-0.3202989199433964,-0.1481674695293162,negative
STRATUS-H minus Hybrid-P,rmse,-0.2056824128837387,-0.3478154157483287,-0.0632933026724853,negative
STRATUS-H minus Pointwise-D,Q_local,0.038324437554892,0.0298954525405078,0.0467815907188558,positive
STRATUS-H minus Pointwise-D,mae,0.0314867286133233,-0.6126827181301492,0.7261494395199494,negative
STRATUS-H minus Pointwise-D,rmse,-8.088337971472376,-9.732984275452988,-6.478779787656291,negative
